point_id,sex,age,age.group,dob,lat,long,region,bread,furniture,footwear,clothing,meal,group,frozen,prank,gum,walkway,foot.cut,class.farce,for.more,sauce.source,one.gone,book.spook,fur.bear,pour.poor,eight.ate,singer.finger,mute.moot,spa.spar,thin.fin,give.it.me,I.done.it,look.at.them,things.what,not.got.it,you.was,neither.me
19,male,22,21 to 40,1992,57.46155269670759,-3.1905096583096153,Scotland,"bap, roll","couch, sofa",NA,trousers,tea,yous,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,rhyme,don't rhyme,different,same,don't rhyme,different,different,same,b,c,NA,d,NA,c,NA
20,female,21,21 to 40,1992,50.88299211202917,-0.11889955368038373,South East,roll,NA,pumps,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,d,d,a,d,NA,NA,NA
21,female,19,< 20,1994,50.77585780842176,-1.7694068057960806,South West,roll,NA,plimsolls,trousers,supper,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,c,b,NA,NA,NA
22,male,18,< 20,1996,51.73929023231522,-0.3141849271725141,East of England,bap,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,e,b,NA,d,NA,c,NA
23,female,68,61 to 80,1946,51.75104906363804,-0.3290673937109874,East of England,barm,couch,NA,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,b,b,NA,b,NA,c,NA
24,female,25,21 to 40,1988,50.87054866787345,-0.2094869248940023,South East,roll,NA,plimsolls,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,NA,d,b,d,d,NA,NA,NA
25,female,21,21 to 40,1992,50.850058863155034,-0.7629377162400385,South East,roll,NA,other (trainers),trousers,tea,"you guys, you lot, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,c,NA,NA,NA
26,female,57,41 to 60,1956,50.8556406849099,-1.1774869229219163,South East,"bun, roll",NA,"plimsolls, pumps",trousers,supper,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,c,e,NA,NA,NA
27,male,58,41 to 60,1956,51.807052713614155,-0.43693256766929656,East of England,roll,sofa,NA,trousers,tea,"you all, other (you both)",NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,b,b,NA,c,NA,c,NA
28,female,42,41 to 60,1972,51.77568384696572,-0.33988874789826473,East of England,roll,settee,NA,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,c,NA,c,NA,c,NA
29,female,25,21 to 40,1988,50.871245732260036,-0.21354865742242765,South East,roll,NA,pumps,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,a,c,NA,NA,NA
30,male,50,41 to 60,1963,50.876469409553025,-2.7497106335411856,South West,roll,NA,plimsolls,trousers,dinner,other (everyone),NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,b,b,b,b,NA,NA,NA
31,male,62,61 to 80,1952,51.826441019424024,-0.27925020062407957,East of England,"bap, roll",sofa,NA,trousers,tea,yous,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,rhyme,don't rhyme,different,same,don't rhyme,different,same,different,c,b,NA,b,NA,b,NA
32,male,23,21 to 40,1990,50.9103112370636,-1.5352045660511946,South East,roll,NA,plimsolls,trousers,supper,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
33,female,19,< 20,1995,51.747818415208855,-0.28589919707832245,East of England,bap,sofa,NA,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,c,NA,c,NA,c,NA
34,male,53,41 to 60,1960,50.87124070158315,-0.18742535703668775,South East,roll,NA,plimsolls,trousers,supper,you guys,NA,NA,NA,NA,rhyme,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,different,same,rhyme,same,same,NA,d,b,a,a,NA,NA,NA
35,male,20,< 20,1993,50.8383942689029,-0.20998755762294358,South East,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,d,c,c,c,NA,NA,NA
36,female,18,< 20,1996,51.80868632907525,-0.27616480335152627,East of England,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,e,e,NA,e,NA,e,NA
37,female,20,< 20,1993,50.91042806531499,-2.3878449504341503,South West,roll,NA,pumps,trousers,"dinner, supper, tea",you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,c,b,NA,NA,NA
38,female,19,< 20,1995,51.81932595916634,-0.3714727841387569,East of England,bap,sofa,NA,trousers,tea,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,e,e,NA,e,NA,e,NA
39,female,21,21 to 40,1992,50.88454990914232,-0.09457431669807662,South East,roll,NA,plimsolls,trousers,dinner,"you, you guys, yous, other (you two)",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,b,c,NA,NA,NA
40,female,20,< 20,1994,51.83674517787658,-0.3679437923645086,East of England,roll,sofa,NA,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,d,d,NA,d,NA,d,NA
41,female,45,41 to 60,1969,51.83285439438235,-0.36256776802471496,East of England,bun,sofa,NA,trousers,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,d,b,NA,b,NA,b,NA
42,male,56,41 to 60,1958,51.83694704579579,-0.32696159638082545,East of England,bun,sofa,NA,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,c,NA,a,NA,c,NA
43,female,20,< 20,1993,51.14500493763614,0.016598551994613936,South East,roll,NA,plimsolls,trousers,tea,you,NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,a,b,a,d,NA,NA,NA
44,female,18,< 20,1996,51.816120952162315,-0.18235942477623648,East of England,roll,sofa,NA,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,d,c,NA,d,NA,d,NA
45,female,49,41 to 60,1965,51.8248361209207,-0.1818429230949264,East of England,roll,sofa,NA,trousers,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,same,c,b,NA,c,NA,b,NA
46,male,45,41 to 60,1968,51.06680496057879,-2.329995764096202,South West,roll,NA,"daps, other (trainers)",trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,b,c,e,NA,NA,NA
47,female,46,41 to 60,1968,51.82711696607421,-0.2637998640456177,East of England,bap,sofa,NA,trousers,supper,other (everybody),NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,b,d,NA,c,NA,c,NA
48,male,47,41 to 60,1966,51.03341937172729,-2.2883538589481107,South West,barm,NA,daps,trousers,tea,other (no pronoun),NA,NA,NA,NA,rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,different,NA,c,a,a,b,NA,NA,NA
49,male,36,21 to 40,1978,51.83933033960572,-0.20210366275943403,East of England,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,b,NA,b,NA,b,NA
50,female,45,41 to 60,1969,51.781021045206955,-0.17560240769132757,East of England,"bap, bun, roll","settee, sofa",NA,trousers,tea,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,a,c,NA,d,NA,c,NA
51,male,24,21 to 40,1989,51.11455534602549,0.7503393654066146,South East,roll,NA,other (canvas shoes),trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,e,NA,NA,NA
52,male,21,21 to 40,1992,51.0335794201293,-0.7123716874373462,South East,roll,NA,plimsolls,trousers,"dinner, tea","you, you guys, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,c,c,NA,NA,NA
53,male,19,< 20,1995,52.44238075872279,-1.903002098058682,West Midlands,bun,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,e,e,NA,e,NA,c,NA
54,female,18,< 20,1995,51.09581275588975,-0.7584283006321038,South East,"bap, bun, roll",NA,"plimsolls, pumps",trousers,supper,"you guys, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,e,NA,NA,NA
55,male,60,41 to 60,1954,52.434488839157865,-1.8837775424251433,West Midlands,roll,sofa,NA,trousers,tea,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,b,c,NA,c,NA,c,NA
56,female,20,< 20,1993,51.044896972898876,-1.3589649695850794,South East,roll,NA,plimsolls,trousers,dinner,"you guys, you lot, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,b,c,c,NA,NA,NA
57,male,37,21 to 40,1977,52.49675280850363,-1.9156884441354207,West Midlands,bap,settee,NA,trousers,dinner,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,a,NA,d,NA,c,NA
58,male,21,21 to 40,1992,51.08825179205969,-0.5917392214700483,South East,bun,NA,pumps,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,c,c,c,c,NA,NA,NA
59,male,32,21 to 40,1982,52.50929899428427,-1.9313063160106154,West Midlands,bun,settee,NA,trousers,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,a,NA,a,NA,a,NA
60,female,64,61 to 80,1950,52.50132214221099,-1.926443495368497,West Midlands,bap,settee,NA,trousers,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,a,a,NA,e,NA,c,NA
61,female,41,41 to 60,1973,52.45981121220451,-1.8111025339922748,West Midlands,cob,settee,NA,pants,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,c,NA,b,NA,c,NA
62,male,18,< 20,1995,51.189726017870164,0.727033556720883,South East,roll,NA,plimsolls,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,d,d,NA,NA,NA
63,male,19,< 20,1995,52.475177575782126,-1.7954049424637806,West Midlands,cob,settee,NA,trousers,dinner,yous,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,b,b,NA,d,NA,b,NA
64,female,21,21 to 40,1992,51.11140951046567,-2.5009055707549512,South West,roll,NA,daps,trousers,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,d,b,b,d,NA,NA,NA
65,female,60,41 to 60,1954,52.435089019427586,-1.8530309923263042,West Midlands,roll,settee,NA,trousers,"dinner, supper, tea",you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,a,c,NA,c,NA,c,NA
66,female,70,61 to 80,1944,52.42801064943484,-1.8263204601783407,West Midlands,bun,sofa,NA,trousers,supper,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,same,same,b,c,NA,e,NA,c,NA
67,male,21,21 to 40,1992,51.21672349637367,-2.0739288001636087,South West,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,b,b,c,NA,NA,NA
68,male,42,41 to 60,1971,51.189820457802355,1.29550451704839,South East,roll,NA,pumps,trousers,dinner,you lot,NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,rhyme,same,same,rhyme,same,same,NA,d,d,c,e,NA,NA,NA
69,female,55,41 to 60,1959,52.4354129539966,-1.941087148096925,West Midlands,bun,sofa,NA,trousers,tea,you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,c,c,NA,c,NA,c,NA
70,male,27,21 to 40,1986,51.200178488743106,1.1858810427580868,South East,"bun, roll",NA,plimsolls,trousers,"dinner, tea",you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,different,rhyme,different,same,NA,c,c,c,c,NA,NA,NA
71,male,49,41 to 60,1964,51.28702248731072,0.5591112384630315,South East,roll,NA,plimsolls,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,b,e,NA,NA,NA
72,male,20,< 20,1993,51.30166065128381,0.5421170999371521,South East,roll,NA,plimsolls,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,b,c,e,NA,NA,NA
73,female,50,41 to 60,1963,51.169097402650536,-0.5147448659765826,South East,bun,NA,plimsolls,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,c,NA,NA,NA
74,female,27,21 to 40,1987,52.40228721949368,-1.9606196389754587,West Midlands,"bap, cob, roll",sofa,NA,trousers,dinner,"you, you guys",NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,a,a,NA,a,NA,b,NA
75,male,25,21 to 40,1988,51.242813047019766,-2.709485853417525,South West,roll,NA,daps,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,d,d,NA,NA,NA
76,female,74,61 to 80,1940,52.430681089298545,-2.0023934380586708,West Midlands,roll,settee,NA,trousers,supper,you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,don't rhyme,rhyme,rhyme,same,different,rhyme,same,same,same,b,b,NA,b,NA,c,NA
77,female,49,41 to 60,1964,51.2793709052728,0.5953803606424614,South East,roll,NA,plimsolls,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,d,d,d,d,NA,NA,NA
78,male,38,21 to 40,1976,52.49266872531029,-1.7545355093103754,West Midlands,"bun, cob, roll",settee,NA,trousers,tea,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,different,c,b,NA,c,NA,c,NA
79,male,20,< 20,1993,51.23118542595553,-0.33623248463882033,South East,bun,NA,plimsolls,trousers,supper,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,c,d,NA,NA,NA
80,female,35,21 to 40,1978,51.2120548977374,-0.22072004998712183,South East,bap,NA,plimsolls,trousers,supper,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,d,d,d,d,NA,NA,NA
81,male,64,61 to 80,1950,52.47945468970822,-1.893511053319765,West Midlands,cob,sofa,NA,pants,dinner,"you lot, yous",NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,same,different,d,a,NA,b,NA,b,NA
82,male,76,61 to 80,1938,52.487491951370586,-1.89009311200116,West Midlands,bun,settee,NA,trousers,"dinner, supper",you,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,rhyme,rhyme,same,same,don't rhyme,same,different,same,d,c,NA,c,NA,d,NA
83,female,19,< 20,1994,51.309580507998184,0.6026068258858175,South East,roll,NA,plimsolls,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,different,NA,c,b,a,d,NA,NA,NA
84,female,49,41 to 60,1965,52.51895981420976,-1.9080662243379036,West Midlands,bap,"settee, sofa",NA,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,same,same,c,c,NA,c,NA,c,NA
85,male,31,21 to 40,1983,52.54434194272135,-1.9196645754642063,West Midlands,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,a,a,NA,b,NA,a,NA
86,female,30,21 to 40,1983,51.27772971528777,-1.0964043435195232,South East,roll,NA,pumps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,c,d,d,NA,NA,NA
87,female,19,< 20,1995,52.53966578298248,-1.9505501690622085,West Midlands,cob,settee,NA,trousers,dinner,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,d,NA,d,NA,b,NA
88,female,44,41 to 60,1969,51.129151392218986,-2.080506832755338,South West,roll,NA,daps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,a,c,b,NA,NA,NA
89,male,25,21 to 40,1989,52.34654812594074,-2.0217476867513198,West Midlands,roll,sofa,NA,trousers,tea,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,c,a,NA,c,NA,c,NA
90,male,21,21 to 40,1992,51.259889099608124,0.4559979793764447,South East,roll,NA,plimsolls,trousers,dinner,other (people),NA,NA,NA,NA,rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,b,b,b,NA,NA,NA
91,female,23,21 to 40,1990,51.38309136692193,-2.4447404715210572,South West,roll,NA,other (trainers),trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,b,b,c,NA,NA,NA
92,female,21,21 to 40,1992,51.34914425828754,0.4188455723246598,South East,roll,NA,plimsolls,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,same,same,NA,d,b,a,b,NA,NA,NA
93,female,19,< 20,1995,52.47735077823322,-2.0046321596334757,West Midlands,cob,sofa,NA,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,different,b,e,NA,b,NA,a,NA
94,male,22,21 to 40,1992,52.553430819520166,-1.8592207553225801,West Midlands,"bap, bun",settee,NA,trousers,tea,you,NA,NA,NA,NA,rhyme,NA,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,same,c,c,NA,d,NA,b,NA
