id,date,tweet,lat,long,region
UK00008253,20/01/2015,We need to send Sterling to Jamaica more often if he's going to play like this! #LFC,50.985445,-1.992784,sw
UK00008320,20/01/2015,Stirling yesss #LFC,53.868933,-1.779746,yo
UK00009080,20/01/2015,Sterling is going to need another holiday after tonight's effort. #CapitalOneCup #LFCvsCFC,51.512623,-0.312248,lon
UK00009162,20/01/2015,Raheem Sterling fires low into the bottom right-corner after racing past Cahill 1-1 #LFC #CFC #LIVCHE,52.926091,-1.499309,em
UK00009357,20/01/2015,The amount of screaming ive just done for @user goal has definitely just brought back my tonsillitis #wortheverysecond #LFC,50.733087,-1.81703,sw
UK00010464,20/01/2015,"""Dare I say it, Liverpool are looking good........ maybe really good! #saidit #LFCvsCFC""",53.153491,-0.655376,em
UK00011329,20/01/2015,C'mon I'm waiting for Costa to absolutely lose his shit.....someones just gotta light the fuse #leaguecup #cfc #lfc,52.530369,-1.844093,wm
UK00012244,20/01/2015,"""Mark lawrenson referring to Liverpool as \""""we\"""" on @user - nothing like a bit of unbiased commentary! #LFCvsCFC""",52.482806,-1.944588,wm
UK00012618,20/01/2015,"""Scousers playing well here, fancy them to get beat 1-2 #LFCvsCFC""",54.954461,-1.49468,ne
UK00013497,20/01/2015,Singing #Gerrards name and almost scored there but letting him go?! #daft #LFCvsCFC,53.235883,-4.122079,wal
UK00013826,20/01/2015,@user is silky....and that is coming from an #MUFC fan! #LFC Some great tekkers on the lad!,53.424312,-2.180852,nw
UK00014114,20/01/2015,#LFCvsCFC against 12 men Lfc playing great !! @user @user,53.378151,-2.899303,nw
UK00014466,20/01/2015,"""Well done Brendan Rogers, having the balls to take gerrard off! #LFCFamily #LFC""",53.42577,-2.799625,nw
UK00014654,20/01/2015,FFS we're battering these! Need to make it count on the scoreboard tho... #LFC #LIVCHE #liverpoolVChelsea #LFCvsCFC #CarlingCup #Liverpool,53.463741,-2.747766,nw
UK00014769,20/01/2015,Shocking substitution! Worse time to bring Gerrard off. #LFCvsCFC,53.7422,-2.624231,nw
UK00014876,20/01/2015,#LFC playing really well tonight but think they need at least one maybe two more goals #LFCvsCFC,51.500356,-0.033875,lon
UK00015290,20/01/2015,"""@user Players playing for each other, their Club and their Manager. Great to watch and really bodes well for the future. #LFC""",55.954749,-2.774637,sco
UK00017504,20/01/2015,Liverpool play like this week in week out they'd be Top 4 .. Pace and intensity is frightening at times .. But so inconsistent #LFC,51.649507,0.120458,eoe
UK00017577,20/01/2015,#lfc are battering Chel53a need to score here #LIVCHE #CapitalOneCup,51.624757,0.039151,lon
UK00017694,20/01/2015,Atkinson has been fucking awful!! #LFCvsCFC #CapitalOneCup,51.538711,0.767035,eoe
UK00019859,20/01/2015,"""Great keeper who I enjoy watching so much @user. One of the best keepers in the world, and he's only 22! #LFCvsCFC #WhatASave""",53.807193,-3.019279,nw
UK00019972,20/01/2015,@user are playing superb. C'mon boys!!!!! #LFC #class,53.830769,-1.779269,yo
UK00020094,20/01/2015,Being a LFC fan you have to prepare to have multiple heart attacks every game #LFC,53.488002,-2.980221,nw
UK00020431,20/01/2015,In a Chelsea pub cheering on Liverpool cos that's how I roll! Come on my 2nd team! #reds #LFCvsCFC,51.460994,-0.217879,lon
UK00020539,20/01/2015,The importance of having a top keeper... Cortoius is unreal #LFC #CFC #courtois,53.412452,-2.644288,nw
UK00021141,20/01/2015,Love watching us play like this! #LFC,53.63447,-3.001721,nw
UK00021258,20/01/2015,Niall Quinn is a fucking jelly head.#LFC,53.40681,-2.899336,nw
UK00021391,20/01/2015,Liverpool are playing outstanding! #lfc,52.786911,-0.171605,em
UK00021782,20/01/2015,"""Literally can't wait for United now, let's hope we make it this time without going up in flames #mufc \ud83d\ude4c""",51.528312,-2.497504,sw
UK00022186,20/01/2015,Lucas has to be one of the worst ball watching midfielders I've ever seen #lfc #LIVCHE,54.81891,-1.38767,ne
UK00023540,20/01/2015,\u0160krtel has been nothing short of phenomenal tonight - absolute bruiser! \ud83d\udc4a #LFC,51.463696,-0.088223,lon
UK00025649,20/01/2015,Good performance #LFC - confidence and style is returning @user #YNWA,54.963631,-1.609088,ne
UK00026134,20/01/2015,Amazing game...great atmosphere and we played amazin.. should of won though!! #LFC,53.488003,-2.980216,nw
UK00026167,20/01/2015,Be interesting to see what sort of team #LFC play against us on Saturday with one eye on the 2nd leg semi #BWFC,53.577409,-2.39276,nw
UK00026239,20/01/2015,Great performance to dominate Chelsea. Had to win tho. Need DS back so sterling can always be running at back 4. Lucas &amp; RS superb #LFC,51.543215,-0.17501,lon
UK00026503,20/01/2015,Let's hope we can take that second half performance into the second leg straight away instead of waiting till half time to step up #LFC,50.488847,-3.561698,sw
UK00026591,20/01/2015,"""Can't fault the players, all players put in a real shift. Looking forward to the 2nd leg #LFC""",53.46503,-3.011056,nw
UK00026806,20/01/2015,Skrtel and Sakho were immense in that. Mignolet's kicking was solid too. Lucas solid too - feels good to feel good after an #LFC match!,53.753909,-0.360911,yo
UK00026817,20/01/2015,"""Best I've seen us play in a while, cracking game \ud83d\udc4f\ud83d\udc4f #LFC #YNWA""",51.578008,-2.097862,sw
UK00026843,20/01/2015,Travesty of a scoreline. #LFC in a different attacking class. #CFC so completely disorientated #LFCvsCFC,55.95737,-3.967505,sco
UK00026925,20/01/2015,Unbeaten in 9 and we dominated the best team in the league.A world away from the shite we were playing a month ago. #LFC,54.121467,-3.205195,nw
UK00027179,20/01/2015,"""Skrtel and Sakho were immense in that. Mignolet's kicking was good, and Lucas solid too - feels good to feel good after an #LFC match!""",53.753697,-0.360832,yo
UK00027583,20/01/2015,Was Diego Costa playing tonight? #LFC,51.368514,-2.931916,sw
UK00027626,20/01/2015,Best I have seen @user play this season. Getting better. Sterling and Lucas amazing! #LFCvsCFC #BALLERS #LeagueCup,53.844327,-0.426066,yo
UK00027719,20/01/2015,#lfc fantastic. Wait til Sturridge gets back and they will score goals. #CFC boring and efficient.,51.624723,0.039118,lon
UK00028293,20/01/2015,We'll rue not getting a second but we've made decent progress in the last few weeks and can go there with real confidence #LFC,51.52223,-0.039222,lon
UK00028364,20/01/2015,going back to stamford bridge at least level was a minimum requirement tonight  but we was awesome tonight more of the same please #lfc,52.500393,-2.064219,wm
UK00028450,20/01/2015,"""Stunning performance, nothing to fear at Stanford Bridge if we play like that. Onwards and upwards Redmen #LFC""",53.398382,-2.544679,nw
UK00028786,20/01/2015,Be interesting to see what the 'tactical genius' Maureen comes up with for the second leg. Can't #parkthebus at home! #LFCvCFC #CarlingCup,52.926997,-1.439692,em
UK00028810,20/01/2015,#LFCvsCFC against 12 men #LFC top drawer..will be tough tho next week..costa hazard will be diving all over the place again! @user,53.378133,-2.899221,nw
UK00029669,20/01/2015,"""Fuck my old boots!!!,what a game!!!!!!!,that's the liverpool I want,closing down quickly and making chances #lfcvscfc""",52.534206,-1.82418,wm
UK00029930,20/01/2015,"""Decent that, hopefully when sick notes back we'll be flying #lfc""",53.388334,-2.865154,nw
UK00030027,20/01/2015,Hope all them idiots who were calling for Brendan's head earlier in the season R hanging their's in shame now #lfc #brendanrodgers,53.761382,-0.325978,yo
UK00030092,20/01/2015,"""What a game and excellent goal keeping from Courtois. Liverpool 1 Chelsea 1, #CFC, #LFC, #CapitalOneCup#""",51.42336,-0.1513,lon
UK00030288,20/01/2015,We go to Stamford Bridge with @user and we might just sneak this one! Crying out for an out and out finisher. #LFC,55.436109,-2.775193,sco
UK00030341,20/01/2015,Matic is a superb player but tonight @user bossed that midfield. The way we're playing right now all we need is Sturridge #LFC,51.42446,-0.084961,lon
UK00030538,20/01/2015,@user what a goal son #LFC #YNWA #LeagueCup #LIVCHE #Chelsea PARKING THE BUS AGAIN,51.565067,-1.809106,sw
UK00031014,20/01/2015,Chelsea parking the bus once again. It'll soon be an international bus depot! #LFC,53.726973,-2.640539,nw
UK00031633,20/01/2015,"""@user excellent game tonight, controlled midfield from the start!! Super goal from @user keep marching on! #LFC4LIFE""",54.620307,-5.934153,ni
UK00031766,20/01/2015,He'll still have his critics but I think we're seeing the Lucas we saw before the cruciate injury. Great player. #LFC,51.424434,-0.085012,lon
UK00031845,20/01/2015,Are you kidding me with the man of the match!! #CapitalOneCup #LFC #CFC,53.511971,-0.139092,yo
UK00032293,20/01/2015,and Hendo is just developing into a complete player. That outside of the boot first time cross field pass to Markovic was filthy #LFC,51.424432,-0.085127,lon
UK00033077,20/01/2015,Skrtel emptying his pockets out and Costa falls out \ud83d\ude02\ud83d\ude02\ud83d\ude02 Coming along now Liverpool... #LFC #LFCvsCFC #LIVCHE,53.46368,-2.747787,nw
UK00033836,20/01/2015,Mourinho living in a dream world #LFCvsCFC,55.957273,-3.968297,sco
UK00036387,20/01/2015,@user long shot but looking for 2x tickets for Chelsea away next week? #LFC,53.429534,-2.960239,nw
UK00036522,20/01/2015,Brendan saying 'character' within 10 seconds of the interview starting. \ud83d\ude48 #LFC,51.474456,-3.199848,wal
UK00037260,20/01/2015,"""@user looking for 2 tickets for #lfc v #bolton together, wanting to show a life long LFC fan first night at anfield!""",53.394562,-2.970651,nw
UK00038266,20/01/2015,Freezing evening at Anfield but worth it #LFC #YNWA #LFCvsCFC http:\/\/t.co\/MMGrWWDcr0,53.430301,-2.964966,nw
UK00039241,20/01/2015,"""Mourinho trying to play mind games in the post game conference, said space in lfc 3 man defence three times. Clearly premeditated #LFC""",52.140007,-0.450998,eoe
UK00039304,20/01/2015,How apt playing the Beastie Boys at the end of the sky sports coverage of #LFCvCHE  what are they trying to say??,52.442861,-0.812936,em
UK00040916,20/01/2015,"""Brilliant performance from #LFC tonight. Totally outplayed Chelsea, disappointing that we couldn't win but proud of the lads!""",53.373384,-3.070184,nw
UK00041453,20/01/2015,"""Lucas proving why he is so important to us ATM, coutinho's movement,vision and control where quality, Sakho quality.. good performance #LFC""",53.431384,-2.970164,nw
UK00042434,20/01/2015,@user best performance of the season and how #LFC can even speak about selling Lucas is unbelievable !!!! He was immense tonight #LFC,51.673133,-4.101542,wal
UK00042821,20/01/2015,"""The Campo Retro scene is spreading across the @user camp, @user next. #LFC""",51.905065,-2.078688,sw
UK00043233,20/01/2015,#LFC looking like the real deal once again.Stats said it all.,50.971891,0.007736,se
UK00044481,20/01/2015,Snowy night watching #LFC #LiverpoolFC #YNWA #Anfield @ Anfield Football Stadium http:\/\/t.co\/F5mxqqysmE,53.43126,-2.961614,nw
UK00048339,20/01/2015,"""@user think we have half a chance, big shoutout to @user was fucking immense! #LFC""",51.496822,-0.387012,lon
UK00060198,23/01/2015,How many league places separate #mufc and #CambridgeUnited ? Is it72? You wouldn't know it from watching this game IMO #FACup #ComeOnUnited,52.064936,-1.348476,se
UK00060900,23/01/2015,"""I've got your picture, I'm coming with you. Di Maria count me in  #MUFC #CambridgeUnited  \u26bd\ufe0f""",51.515397,-3.124365,wal
UK00061311,23/01/2015,Do like that #diMaria shows. Wants to make something happen. #MUFC,51.798655,-4.970432,wal
UK00061607,23/01/2015,@user Cheers for the follow Scott &amp; hope you're well. Following back #LFCFamily,52.56382,-1.174537,em
UK00061962,23/01/2015,Remember when Blind had 99% pass accuracy passing side to side in his first game. United thought they'd replaced Scholes \ud83d\ude02\ud83d\ude02\ud83d\ude02 #mufc,51.492447,-3.135755,wal
UK00063436,23/01/2015,Good lord we're embarrassing \ud83d\ude2c\ud83d\ude33\ud83d\ude48#mufc,52.274076,0.767041,eoe
UK00063514,23/01/2015,its not even the system now its our attacking play that's shite weve got no one running in behind everyone's fucking static no passion!#mufc,52.588878,-0.252324,eoe
UK00063561,23/01/2015,Good to see #MUFC playing such good attacking and attractive football again  #sarcasm #brutalAGAIN #disgrace,54.673604,-5.963828,ni
UK00063971,23/01/2015,Cambridge - #LFC are supporting you tonight,53.382875,-2.749878,nw
UK00064041,23/01/2015,What a massively underwhelming half of football. Not even worth me rinsing off my data. Step it up #MUFC,53.348478,-2.117936,nw
UK00064086,23/01/2015,1st half analysis Rojo is a beast that's about it another poor half off football oh and the away end I'd sounding poor tonight #MUFC,53.529734,-2.402056,nw
UK00064118,23/01/2015,Piss poor performance again against lower league opposition. Players getting found out again here tonight. Only Rojo looks up for this #mufc,53.389317,-2.949703,nw
UK00064505,23/01/2015,FFS we're shite and boring to watch. I've thought for a while that all focus on formation rather than fact that players been awful. #mufc,54.557916,-3.575304,nw
UK00064580,23/01/2015,Januzaj is definitely a fool. I reckon #mufc are playing so bad because they're all desperate to order the #Necron Codex at half time!!,51.451764,-2.616518,sw
UK00064743,23/01/2015,Looking poor so far #mufc #CUFCvMUFC #FACup,52.796436,-2.109562,wm
UK00065333,23/01/2015,Disappointing 1st half #MUFC Playing at the level of the opposition rather than their capability. Depressing! LVG get it sorted for 2nd half,52.998481,-1.236688,em
UK00065488,23/01/2015,"""Dunno what LVG philosophy is, I cant work it out, one thing I can work out is its fuckin shit, and clearly NOT working. #MUFC""",54.325394,-2.525285,nw
UK00065548,23/01/2015,I can see @user binning @user off because he hasn't done enough. In my eyes the quality been played up to him is not gd enough #mufc,50.601702,-2.47167,sw
UK00065607,23/01/2015,"""#MUFC fans cannot tell me that #Moyes was worse than this? United look void of ideas and woeful going forward. Same shit, different manager""",51.437499,-2.603097,sw
UK00065630,23/01/2015,"""#MUFC look terrible, last season they would be singing #MoyesOut  Who's to blame this time?! #FACup #CUFCvMUFC""",50.806735,-1.058344,se
UK00065758,23/01/2015,Might have to take something special like Herrara's goal in the previous round for #MUFC to win tonight #FACup,53.525401,-2.121777,nw
UK00065950,23/01/2015,Just heard that #MUFC are being held to a draw at Cambridge and Van Gaal's still playing 3 at the back. Lol.,51.445552,-0.217722,lon
UK00067336,24/01/2015,Blimey big teams going out of the cup this weekend - lets not join them please united #mufc,51.583942,0.230832,lon
UK00067580,24/01/2015,\u201c@user: FT: City 0-2 Boro it ends. #mcfc knocked out of the #facup at the Fourth Round stage on a disappointing afternoon. \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02,51.920918,-0.690141,eoe
UK00068376,24/01/2015,"""Haha getting a replay to Cambridge dosen't look so bad now city, Chelsea and Spurs have gone out lol #FACup #MUFC""",50.898996,-1.398053,se
UK00068436,24/01/2015,Draw last night isn't looking so bad anymore #mufc,51.830842,-0.351964,eoe
UK00068779,24/01/2015,"""Again no plan B Mr P, guess we don't fancy a trophy this year! All the possession in the world means nothing if you can't bag! #poor #mcfc""",53.453363,-2.137109,nw
UK00069082,24/01/2015,@user #mufc could yet be following \ud83d\ude4f,53.469851,-1.47477,yo
UK00069102,24/01/2015,Not so many people laughing at us now?! #MUFC,53.381522,-2.371861,nw
UK00069599,24/01/2015,As if both Chelsea and city have lost shit cunts #mcfc #CFC bet bookies are clapping there hands defo mine anyway #paddypower #skybet,53.485794,-2.637276,nw
UK00070025,24/01/2015,Top having a fortress. #mcfc,53.487714,-2.201962,nw
UK00070345,24/01/2015,@user @user hahaha I stand corrected. Some problems needing to be addressed at City it would seem #mcfc,53.53523,-2.18495,nw
UK00071178,24/01/2015,@user what was you saying yesterday again #MUFC,53.475695,-2.133418,nw
UK00071239,24/01/2015,#MCFCvMFC Shiteh totally deserve that for treating the FA Cup like shit!!  Back from Abou Dhabi at 7pm last night! Cocky overpaid fuckers!!,52.524275,-1.514854,wm
UK00071337,24/01/2015,We now have a genuine chance of winning it (providing we up our performance levels 1000000%) #MUFC,53.282918,-2.913905,nw
UK00071676,24/01/2015,Lots of City fans applauding 'Boro fans after the final whistle. I'm not that sporting. They can fuck right off. Hope the A1 is shut. #mcfc,53.481862,-2.20153,nw
UK00071973,24/01/2015,Did not see that one coming #MCFC #CFC,53.416947,-1.065696,yo
UK00073243,24/01/2015,#MUFC getting a 0-0 draw last night doesn't seem too bad now! #FACupAdventure,56.507017,-2.717583,sco
UK00074347,24/01/2015,FA cup gods are having a helping hand in scripting a fairytale finish to Steven Gerrards #lfc career,53.417071,-2.214535,nw
UK00075216,24/01/2015,Is Rodgers trying to knock us out as well!! WTF!! Johnson! Allen! Back to a back four!! No Gerrard at all!!! What's he playing at! #lfc,51.257845,0.515333,se
UK00075251,24/01/2015,Where's all the Chelsea and City fans who was giving us lot grief last night?!? Hah ..we're in draw for 5th round!! #FACup #CFC #MUFC #mcfc,53.694883,-1.362845,yo
UK00075471,24/01/2015,Mmmmm Are the Gods going to deliver Gerrard an #facup final vs #manutd for his birthday? #lfc #theperfectending?,51.626545,0.323832,eoe
UK00076359,24/01/2015,All the plastics crying about the draw last night backing the team again after those results #MUFC,53.229905,-1.422292,em
UK00076878,24/01/2015,Congratulations to Bradford!! Fuckin hate vile Chelsea!!! #lfc #BradfordCity,51.257802,0.51528,se
UK00076966,24/01/2015,Big teams falling away in the FA cup! Even more important we get the head down &amp; win this replay #MUFC,57.189466,-3.835993,sco
UK00077075,24/01/2015,And they say Liverpool have no chance of beating Chelsea at Stamford bridge! #BradfordCity #FACup #underdogs #lfc #haha,53.789724,-1.547968,yo
UK00077097,24/01/2015,I hope the man city and Chelsea fans enjoyed their trolling of #MUFC last night. #CFCvBCAFC #mcfc. We are still in the #FACup \ud83d\udc4c\ud83d\udc4f,53.729357,-0.420141,yo
UK00078657,24/01/2015,We've gone from the laughing stock to the bookies favourites \ud83d\ude02 #mufc,51.617868,-2.52246,sw
UK00079385,24/01/2015,Not many people laughing at Us now #MUFC,53.722515,-1.353999,yo
UK00081552,24/01/2015,Uniteds away draw at Cambridge not lookin so bad now after today #MUFC #FACup,52.985117,-1.983845,wm
UK00082894,24/01/2015,"""#MUFC fans looking at today's FA Cup results, be like : http:\/\/t.co\/tUO3r47ITp""",54.111782,-2.786019,nw
UK00084563,24/01/2015,Seriously need to take advantage of the top 3 losing today \ud83d\udc40 #LFC,51.90279,0.874586,eoe
UK00085478,24/01/2015,These FA Cup results are making our West Ham result look even costlier..... #EFC #COYB,53.26452,-2.879033,nw
UK00086427,24/01/2015,"""Ok, so everybody is talking about Cambridge. At least WE are still in the FA cup. #MUFC_FAMILY""",54.952114,-1.683026,ne
UK00086542,24/01/2015,For crying out loud city \ud83d\ude2b\ud83d\udd2b #MCFC #FACup,51.510969,-3.229474,wal
UK00087172,24/01/2015,I hate this. Sat about. Waiting for away coaches to depart. Fuck 'em. Why should I wait? #grumpy   #mcfc http:\/\/t.co\/9db3CO38rc,53.474246,-2.196294,nw
UK00089462,24/01/2015,Been in the spa 2 hours what on earth is happening #magic #FACup #LFC,53.32698,-1.473312,yo
UK00089998,24/01/2015,#FluDiary Day 7 no sleep last night watching #ausopen between coughing fits Still sore breathing have to be gentle #LFCvBWFC #FACup #YNWA,54.526721,-6.03993,ni
UK00090251,24/01/2015,#CFC and #MCFC were knocked out of the #FACup by underdogs today. I won't start laughing til I know #Arsenal are safe http:\/\/t.co\/remwqJXntF,51.340858,1.425078,se
UK00090663,24/01/2015,The Man U v Cambridge draws not looking so bad now! #mufc,50.437292,-3.573947,sw
UK00090931,24/01/2015,@user good evening mary hope you are well #COYR #FACup #YWNA #LFCFAMILY \ud83d\ude18,52.86318,1.39582,eoe
UK00091533,24/01/2015,@user evening hun hope you and your family are well \ud83d\ude18\ud83d\udc4d#COYR #FACup #GetGerrardToWembley #YWNA #LFCFAMILY,52.863173,1.39582,eoe
UK00091601,24/01/2015,How scared is Manquillo to make a mistake going forward serious?! Wish he would just back himself and play witjout pressure!! #LFC,53.415181,-2.546826,nw
UK00093152,24/01/2015,#LFC lol are these Bolton lads playing rugby?,54.679165,-5.956398,ni
UK00093322,24/01/2015,Think Bolton are playing wrong sport with all fucking rugby tackles. #LFC,52.95594,-1.142772,em
UK00093995,24/01/2015,Wondering if Bolton realise they're a football team... Not a rugby team \ud83d\ude33\ud83d\ude48 #LFC #LIVvBOL,53.832406,-2.390815,nw
UK00094016,24/01/2015,Will be very surprised if @user finish will 11 men this evening #LFCvBWFC,51.484755,-0.093785,lon
UK00094913,24/01/2015,"""\""""@user: When City fans and Chelsea fans laugh at us for drawing to Cambridge. \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 #mufc\""""""",51.47828,-0.167739,lon
UK00095694,24/01/2015,"""Typical, best player in the last month gets injured. No chance Coutinho is playing on Tuesday. Get him off Brendan! #LFC""",53.611128,-1.72965,yo
UK00095971,24/01/2015,Get Coutinho off asap. He's obviously hurt and we got some stinky fixtures coming up #LFC #LIVBOL,54.818837,-1.387489,ne
UK00096555,24/01/2015,@user good evening #COYR #GetGerrardToWembley #LFCfamily #YWNA \ud83d\ude0a,52.863331,1.395617,eoe
UK00098716,24/01/2015,Doesn't make sense had my hair done today and sat in looking at a green screen #LFC,53.403499,-2.993333,nw
UK00102372,24/01/2015,Can someone please explain positioning to Enrique #LFC,53.398381,-2.544661,nw
UK00102530,24/01/2015,\u201c@user: Never watching the match in a nice place again! Having to keep silent and not swear!! \ud83d\udc4e #lfc\u201dyou have fingers holly hahs,53.400784,-2.910548,nw
UK00102573,24/01/2015,Manquillo and Enrique not offering much. #lfc,54.631251,-6.189701,ni
UK00103274,24/01/2015,Too slow going forward from #LFC. Patient build-up just allows Bolton to get 8\/9 men behind the ball.,54.599189,-1.314359,ne
UK00104157,24/01/2015,Crap half. Swap manquillo and Enrique for more attacking options. Mayb a striker aswel. #lfc,54.631253,-6.189699,ni
UK00104760,24/01/2015,\u201c@user: Hands up whose still left in the FA Cup \u270b #MUFC #ManUtd\u201d  Who you playing for now a days kidda?? #Crouchy,53.450137,-2.741326,nw
UK00104801,24/01/2015,Great end to a great week #splitboarding and seeing #mfc batter #mcfc #utb,53.456512,-2.24513,nw
UK00109340,24/01/2015,Markovic for Enrique!! Going for the attack then! WhT I like to see #lfc #ynwa #LFCFamily,51.835184,-0.817974,se
UK00110729,24/01/2015,However I will take great pleasure in you all telling me I was wrong come May #mcfc,53.401645,-2.357681,nw
UK00111422,24/01/2015,@user @user its there for the taking but do #MUFC want it enough!,51.156561,-1.34661,se
UK00112002,24/01/2015,Neil Lennon sitting spitting all round Anfield the dirty rotten tramp #LFC #Tramp,54.639845,-6.744092,ni
UK00112085,24/01/2015,Ref's losing it! #LFCvBWFC,52.636784,1.270024,eoe
UK00112538,24/01/2015,Watching #LFC play with the Mr.,52.499196,-1.803239,wm
UK00112550,24/01/2015,@user @user hahahahhaaahaha fucking shocking #mcfc#OK,53.426979,-2.431842,nw
UK00112915,24/01/2015,@user Hello stranger. All we need to do is win to make it a perfect footballing day #YNWA #LFC,53.449297,-2.349387,nw
UK00112975,24/01/2015,As poor as #mufc were last night. Chelsea and Man City being knocked out at home makes our result\/replay look decent. #FACup,51.486727,-3.154288,wal
UK00113525,24/01/2015,If Stirling can sort he's finishing out he will be world class #lfc,51.472216,0.181926,se
UK00114548,24/01/2015,Oh well out the #FACup but no stress as the #PremierLeague has to be priority #ChampionsLeague 2nd beating #LFC 3rd but always important,51.329679,0.549688,se
UK00115299,24/01/2015,@user staring to get a bit nervous now #lfcvbolton,52.267965,-0.865459,em
UK00115738,24/01/2015,Hope to f*k it ain't going to be 0-0 stalemate with 100 shots at goal #LFCFamily #LFCvBWFC,51.834893,-0.818179,se
UK00117587,24/01/2015,"""@user I hope you're enjoying this game, in a strange kind of way #LFCvBWFC #FACup""",52.248509,-1.170537,em
UK00119752,24/01/2015,Just waiting for Bolton to score #LFCvBWFC #FACup #underdog,52.475187,-0.702059,em
UK00119846,24/01/2015,Best news I've heard all day is Chelsea and City getting knocked out of the FA cup \ud83d\ude02 I really think we can win it! #mufc,53.516396,-2.160261,nw
UK00121850,24/01/2015,"""1 good thing to come of this, the match is so boring I've almost finished my essay. Well done Liverpool, thanks for ruining my evening #lfc""",52.483873,-1.909381,wm
UK00122317,24/01/2015,Kevin Friend paying #lfc back for having the temerity to beat Newcastle 4-3 back in the day.,54.935411,-1.603559,ne
UK00122407,24/01/2015,Thank you Citeh and Chelski for bottling the FA Cup.  #ChelseavsBradford #McfcVMfc @user http:\/\/t.co\/eB0BiRYKmZ,53.883441,-1.735929,yo
UK00122465,24/01/2015,@user #surveyscores #lfc making hard work of this,50.987288,-1.485227,se
UK00124112,24/01/2015,Ed Sheeran playing a blinder in goal for #Bolton . #LFC,52.660112,-1.133774,em
UK00124126,24/01/2015,@user @user  where was Mangala? He was playing ok in the unbeaten run we had!! #mcfc,53.536545,-2.189102,nw
UK00126180,24/01/2015,Imagine having Henderson as your captain #LFC,53.447055,-2.323787,nw
UK00126386,24/01/2015,Seriously we r lacking goals #lfc,52.425777,0.759385,eoe
UK00126953,24/01/2015,A fucking replay??!!!! Fuming. #LFC #FACup #LIVBOL,51.078364,-1.811987,sw
UK00127418,24/01/2015,That was frustrating for #lfc but #bwfc did a job. They deserve the replay,51.567813,-0.107896,lon
UK00127852,24/01/2015,#lallana was poor today! We had nothing up front today! #lfc,51.566253,-1.808046,sw
UK00129167,24/01/2015,#Mufc making the #FACup look easy! \ud83d\udc4c,51.807658,-2.147295,sw
UK00130439,26/01/2015,watching our U21's and what a finish from McNair. Not bad for someone who arrived as an AM and now a CB. #mufclive #mufc,53.461325,-2.124245,nw
UK00130764,26/01/2015,Wouldnt mind getting rid of RvP only if we can replace him with someone like Cavani #MUFC,53.693096,-2.253855,nw
UK00131737,26/01/2015,Just watching the U21 #mufc v #lfc game - United youngsters better than the seniors - are you watching Van Gaal?,52.237794,0.28396,eoe
UK00132182,26/01/2015,Watching united under 21 is amazing \ud83d\ude0d enjoying watching united again. Playing good fast attacking football #mufc,51.384776,-3.340247,wal
UK00133212,26/01/2015,"""Some very promising performances so far from @user , @user &amp; @user for @user U21's tonight \u26bd\ufe0f #GGMU #MUFC""",52.063336,-1.34234,se
