country,production_tons,production_pp_kg,acreage_hectare,yield_kg_hc
Azerbaijan,43607,4.406,"1,575","27,687"
Ecuador,43288,2.536,"6,887","6,285.50"
Serbia,39541,5.648,"1,915","20,648"
Libya,33660,5.202,"7,680","4,382.80"
Rwanda,31704,2.642,"2,276","13,929.70"
Czech Republic,28880,2.721,780,"37,025.60"
Costa Rica,28303,5.657,850,"33,297.60"
Moldova,26760,7.536,"2,458","10,886.90"
Jamaica,25954,9.511,"1,648","15,748.80"
Uruguay,24862,7.091,"1,075","23,127.40"
Jordan,23433,2.29,615,"38,102.40"
Greece,22320,2.073,960,"23,250"
Bulgaria,20410,2.895,"1,090","18,724.80"
Syria,19875,1.087,840,"23,660.70"
Nicaragua,19567,3.113,741,"26,406.20"
Oman,18303,3.653,582,"31,448.50"
Ethiopia,18225,0.169,"4,074","4,473.50"
Senegal,17085,1.086,"2,465","6,931"
Estonia,16470,12.485,350,"47,057.10"
Mali,15941,0.834,"1,093","14,584.60"
Yemen,15112,0.523,"1,566","9,650.10"
Latvia,13950,7.244,510,"27,352.90"
Slovakia,13600,2.499,390,"34,871.80"
Albania,13571,4.728,423,"32,082.70"
Saudi Arabia,13390,0.401,663,"20,196.10"
Paraguay,13200,1.872,"1,100","12,000"
Armenia,13170,4.435,761,"17,306.20"
Croatia,11910,2.841,350,"34,028.60"
Madagascar,10928,0.416,"3,168","3,449.50"
Bosnia and Herzegovina,10906,2.882,"1,350","8,078.50"
Bhutan,10667,14.67,811,"13,152.90"
Slovenia,5670,2.743,260,"21,807.70"
Lebanon,5322,0.873,409,"13,012.20"
Mauritius,5260,4.158,354,"14,858.80"
Palestinian Territories,5091,1.119,197,"25,842.60"
Honduras,4535,0.503,389,"11,658.10"
Panama,4503,1.083,433,"10,399.50"
Malawi,4000,0.223,200,"20,000"
Botswana,3890,1.689,140,"27,785.70"
Macedonia,3829,1.845,388,"9,868.60"
Iraq,3664,0.093,493,"7,432"
Namibia,3510,1.454,107,"32,803.70"
Cape Verde,2279,4.189,104,"21,913.50"
Cyprus,2130,2.492,50,"42,600"
Georgia,1200,0.322,193,"6,217.60"
Malta,1107,2.327,47,"23,553.20"
São Tomé and Príncipe,981,4.962,131,"7,488.50"
Iceland,900,2.549,5,"180,000"
Dominica,800,11.221,100,"8,000"
Luxembourg,630,1.047,30,"21,000"
Belize,546,1.379,45,"12,133.30"
Saint Vincent and the Grenadines,542,4.947,61,"8,885.20"
Kuwait,538,0.127,16,"33,625"
Republic of the Congo,533,0.099,84,"6,345.20"
Democratic Republic of the Congo,423,0.005,48,"8,812.50"
Bermuda,362,5.676,19,"18,799"
Barbados,338,1.18,20,"16,900"
Antigua and Barbuda,306,3.546,102,"3,000"
Zimbabwe,193,0.013,19,"10,157.90"
Saint Kitts and Nevis,153,3.311,20,"7,650"
Montserrat,149,30.408,26,"5,677.70"
Grenada,77,0.745,13,"5,923.10"
Qatar,62,0.025,5,"12,400"
Trinidad and Tobago,35,0.026,1,"35,000"
Bahrain,35,0.023,2,"17,500"
Saint Lucia,15,0.084,1,"15,000"
Djibouti,14,0.013,N/A,N/A
